run_id,run_name,run_status_snapshot,run_created_at,run_started_at,run_finished_at,model_id,model_label,prompt_id,prompt_label,doc_id,filename,status,updated_at,reference_source_used,warnings_count,micro_precision,micro_recall,micro_f1,micro_tp,micro_fp,micro_fn,macro_precision,macro_recall,macro_f1,age_precision,age_recall,age_f1,age_tp,age_fp,age_fn,age_support,date_precision,date_recall,date_f1,date_tp,date_fp,date_fn,date_support,location_precision,location_recall,location_f1,location_tp,location_fp,location_fn,location_support,misc_id_precision,misc_id_recall,misc_id_f1,misc_id_tp,misc_id_fp,misc_id_fn,misc_id_support,name_precision,name_recall,name_f1,name_tp,name_fp,name_fn,name_support,other_precision,other_recall,other_f1,other_tp,other_fp,other_fn,other_support,school_precision,school_recall,school_f1,school_tp,school_fp,school_fn,school_support,url_precision,url_recall,url_f1,url_tp,url_fp,url_fn,url_support
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,a5a42a0d,990c86f5-811c-430a-ac8d-b5c8367ba4b1_annotated.json,completed,2026-03-08T20:50:51.398241+00:00,manual,7,0.9,0.782608695652174,0.8372093023255814,18,2,5,0.25,0.20454545454545456,0.225,,,,,,,,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,1,0,0,,,,,,,,1.0,0.8181818181818182,0.9,18,0,4,22,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,1,1
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,a85b85ba,8117e277-1cbf-449d-7298-3e15fbacbafb_2913_annotated.json,completed,2026-03-08T20:50:53.276741+00:00,manual,3,1.0,0.9411764705882353,0.9696969696969697,16,0,1,1.0,0.9411764705882353,0.9696969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.9411764705882353,0.9696969696969697,16,0,1,17,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,fe8b0fe8,37828c5d-66a4-494c-b480-790b5a84f7a9_annotated.json,completed,2026-03-08T20:50:52.863518+00:00,manual,3,1.0,0.3333333333333333,0.5,1,0,2,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1,0,0,1
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,d4df4c18,0e38e303-12a6-4c6c-8f42-3aaf307310ac_annotated.json,completed,2026-03-08T20:51:00.556135+00:00,manual,7,0.8048780487804879,0.5238095238095238,0.6346153846153846,33,8,30,0.6689189189189189,0.38958333333333334,0.46996904024767805,,,,,,,,,,,,,,,0.5,0.13333333333333333,0.2105263157894737,2,2,13,15,,,,,,,,0.8378378378378378,0.6458333333333334,0.7294117647058824,31,6,17,48,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,c7ca76b6,03bd2893-18e4-439b-a7d0-5000c155d7ac_annotated.json,completed,2026-03-08T20:50:55.759499+00:00,manual,7,1.0,0.8333333333333334,0.9090909090909091,10,0,2,1.0,0.8333333333333334,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8333333333333334,0.9090909090909091,10,0,2,12,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,9bb358ed,4fe6a5da-fc1e-41a1-9e47-187cf5ce02c9_annotated.json,completed,2026-03-08T20:50:58.320811+00:00,manual,3,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,0.7142857142857143,0.5555555555555556,0.6250000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,9,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,80648041,05b4be7f-a442-d4a5-e100-d9f502debf09_2914_annotated.json,completed,2026-03-08T20:51:02.367607+00:00,manual,3,1.0,0.7142857142857143,0.8333333333333333,5,0,2,1.0,0.7142857142857143,0.8333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.7142857142857143,0.8333333333333333,5,0,2,7,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,49ac97a8,7ac80468-d52e-4192-bd51-9f8cd7e3e47f_annotated.json,completed,2026-03-08T20:51:03.925445+00:00,manual,3,1.0,0.8888888888888888,0.9411764705882353,8,0,1,1.0,0.8888888888888888,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.8888888888888888,0.9411764705882353,8,0,1,9,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,efc03354,8b1643c9-69d3-7123-f7bf-51b762d1a387_2909_annotated.json,completed,2026-03-08T20:51:07.069113+00:00,manual,13,0.8518518518518519,0.696969696969697,0.7666666666666667,23,4,10,0.6153846153846154,0.3452380952380952,0.4049382716049383,,,,,,,,,,,,,,,1.0,0.25,0.4,1,0,3,4,,,,,,,,0.8461538461538461,0.7857142857142857,0.8148148148148148,22,4,6,28,0.0,0.0,0.0,0,0,1,1,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,35abe043,9f326b6f-1206-7f13-f20b-70024bf419af_2912_annotated.json,completed,2026-03-08T20:51:10.110279+00:00,manual,3,0.9230769230769231,0.8571428571428571,0.888888888888889,24,2,4,0.9230769230769231,0.8571428571428571,0.888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9230769230769231,0.8571428571428571,0.888888888888889,24,2,4,28,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,annotator_agents_raw,annotator_agents_raw,f5d5b0e9,9f2839d6-3730-d4ba-b265-309f0fc0db22_2914_annotated.json,completed,2026-03-08T20:51:18.687818+00:00,manual,7,0.8571428571428571,0.6964285714285714,0.768472906403941,78,13,34,0.43820224719101125,0.3482142857142857,0.3880597014925373,,,,,,,,0.0,0.0,0.0,0,2,0,0,,,,,,,,,,,,,,,0.8764044943820225,0.6964285714285714,0.7761194029850746,78,11,34,112,,,,,,,,,,,,,,,,,,,,,
15fad00a,prompt_lab__prompt_text_core__openai,running,2026-03-08T20:50:03.710054+00:00,2026-03-08T20:50:03.714122+00:00,,codex_xhigh,codex_xhigh,preset_default_verify_off,preset_default_verify_off,56f8e098,17f67cd7-cc76-d922-9175-73fff05bb9fa_2909_annotated.json,completed,2026-03-08T20:51:12.473961+00:00,manual,12,0.45454545454545453,0.5,0.47619047619047616,5,6,5,0.2380952380952381,0.1851851851851852,0.20833333333333337,0.0,0.0,0.0,0,0,1,1,0.0,0.0,0.0,0,4,0,0,,,,,,,,,,,,,,,0.7142857142857143,0.5555555555555556,0.6250000000000001,5,2,4,9,,,,,,,,,,,,,,,,,,,,,
